#,Plant Name,Scientific Name,Region,Country of Origin,Traditional Uses,Popular Product Form,Associated Ceremony,Veterinary Use,Indigenous Tribe or Group
1,Echinacea,Echinacea purpurea,North America,"United States, Canada","Immune boosting, treating colds, flu, and infections","Nutraceuticals, liquid tonics","Healing ceremonies, especially for immune system support","Yes - Immune support, respiratory infections in horses and dogs","Plains Tribes (Lakota, Dakota, Omaha)"
2,Yarrow,Achillea millefolium,North America,"United States, Canada","Anti-inflammatory, pain relief, treating wounds, fevers, digestive issues","Essential oils, herbal teas",Used in sweat lodge ceremonies for purification and healing,"Yes - Wound care, anti-inflammatory for various animals","Numerous Tribes (Blackfoot, Cherokee, Iroquois)"
3,Sweetgrass,Hierochloe odorata,North America,"United States, Canada",Used in purification rituals and to treat colds and sore throats,"Essential oils, smudging sticks",Smudging ceremonies for purification and to invite positive energy,No,"Plains Tribes (Lakota, Dakota, Blackfoot)"
4,White Sage,Salvia apiana,North America,United States (California),"Purification, treating respiratory issues","Smudging sticks, essential oils",Smudging ceremonies for cleansing and protection,No,"Chumash, Cahuilla, Kumeyaay"
5,Willow Bark,Salix spp.,North America,"United States, Canada","Pain reliever, reducing fevers, treating headaches","Nutraceuticals, herbal extracts","Healing ceremonies, often associated with pain relief","Yes - Pain relief in dogs and horses, anti-inflammatory","Numerous Tribes (Cherokee, Ojibwe, Cree)"
6,Bearberry,Arctostaphylos uva-ursi,North America,"United States, Canada","Urinary tract issues, ceremonial smoking","Herbal teas, supplements",Used in peace pipe ceremonies and traditional smoking mixtures,No,"Cree, Anishinaabe, Blackfoot"
7,Goldenseal,Hydrastis Canadensis,North America,"United States, Canada","Antiseptic, treating infections of the skin and eyes","Herbal extracts, supplements","Healing ceremonies, especially for skin and eye conditions",Yes - Antiseptic for wounds and skin infections in various animals,"Cherokee, Iroquois"
8,Juniper,Juniperus spp.,North America,"United States, Canada",Respiratory and urinary tract issues,"Essential oils, supplements",Used in purification rituals and to ward off evil spirits,"Yes - Urinary tract health, digestive aid for livestock","Navajo, Ute, Hopi"
9,Cedar,Thuja spp.,North America,"United States, Canada","Treating fevers, coughs, and ceremonial use","Essential oils, smudging sticks",Smudging and sweat lodge ceremonies for purification,No,"Haudenosaunee (Iroquois), Coast Salish, Cree"
10,Wild Cherry Bark,Prunus serotina,North America,"United States, Canada",Coughs and respiratory issues,"Herbal syrups, extracts",Used in healing ceremonies for respiratory health,Yes - Respiratory issues in dogs and horses,"Cherokee, Delaware (Lenape), Iroquois"
